Maaned_navn,Median_minutter,Antal_ture,Kategori,Sæson
Januar,12.5,26891,Gul,Vinter
Februar,11.9,24095,Gul,Vinter
Marts,11.9,26785,Gul,Forår
April,11.9,25570,Gul,Forår
Maj,11.8,26353,Gul,Forår
Juni,12.4,26129,Gul,Sommer
Juli,12.4,25989,Gul,Sommer
August,12.6,26548,Gul,Sommer
September,12.4,26262,Gul,Efterår
Oktober,12.4,26891,Gul,Efterår
November,12.6,26035,Gul,Efterår
December,12.7,27487,Gul,Vinter
