Maaned_navn,Median_minutter,Antal_ture,Kategori,Sæson
Januar,8.6,30560,Grøn,Vinter
Februar,8.5,28070,Grøn,Vinter
Marts,8.5,31009,Grøn,Forår
April,8.4,29475,Grøn,Forår
Maj,8.4,30129,Grøn,Forår
Juni,8.4,29766,Grøn,Sommer
Juli,8.4,29341,Grøn,Sommer
August,8.5,31227,Grøn,Sommer
September,8.4,30368,Grøn,Efterår
Oktober,8.4,31111,Grøn,Efterår
November,8.6,30636,Grøn,Efterår
December,8.6,31608,Grøn,Vinter
