Time,B_Median
0,10.0
1,10.1
2,9.9
3,9.9
4,10.3
5,10.7
6,11.9
7,12.5
8,11.4
9,12.2
10,12.2
11,13.1
12,12.6
13,12.6
14,12.4
15,12.2
16,11.7
17,11.5
18,11.5
19,10.8
20,10.8
21,10.4
22,10.6
23,10.1
