Maaned_navn,Median_minutter,Antal_ture,Kategori,Sæson
Januar,12.1,30451,Gul,Vinter
Februar,11.9,28154,Gul,Vinter
Marts,12.0,31011,Gul,Forår
April,12.1,28949,Gul,Forår
Maj,12.2,30191,Gul,Forår
Juni,12.4,29775,Gul,Sommer
Juli,11.8,28238,Gul,Sommer
August,11.9,30580,Gul,Sommer
September,11.8,30353,Gul,Efterår
Oktober,11.8,30610,Gul,Efterår
November,12.0,29958,Gul,Efterår
December,12.4,31079,Gul,Vinter
