Time,B_Median
0,17.6
1,17.5
2,17.3
3,19.0
4,17.9
5,17.8
6,24.8
7,20.4
8,17.6
9,18.3
10,19.6
11,19.8
12,18.7
13,17.9
14,17.8
15,18.6
16,17.6
17,17.6
18,19.0
19,17.9
20,17.2
21,17.7
22,18.6
23,18.6
