Time,B_Median
0,16.2
1,16.0
2,16.5
3,16.0
4,16.2
5,17.0
6,19.0
7,19.8
8,17.2
9,16.9
10,17.4
11,17.8
12,17.7
13,17.3
14,17.4
15,17.4
16,17.4
17,17.8
18,19.5
19,18.4
20,17.9
21,17.5
22,17.3
23,17.1
