Maaned_navn,Median_minutter,Antal_ture,Kategori,Sæson
Januar,13.5,42187,Gul,Vinter
Februar,13.5,37946,Gul,Vinter
Marts,13.6,42046,Gul,Forår
April,13.7,39595,Gul,Forår
Maj,13.5,41417,Gul,Forår
Juni,13.8,40616,Gul,Sommer
Juli,13.2,40184,Gul,Sommer
August,13.3,41864,Gul,Sommer
September,13.6,41173,Gul,Efterår
Oktober,13.4,42351,Gul,Efterår
November,13.6,41410,Gul,Efterår
December,13.8,42996,Gul,Vinter
