Time,B_Median
0,21.1
1,20.3
2,19.9
3,19.0
4,17.9
5,19.5
6,25.1
7,21.5
8,20.3
9,20.4
10,22.4
11,22.8
12,22.2
13,21.1
14,22.3
15,22.3
16,21.4
17,21.5
18,25.9
19,24.7
20,22.5
21,22.6
22,24.2
23,24.6
